Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status,Transaction_Status_Raw,Product_Name_Raw,Payment_Method_Raw,Total_Amount,Anomaly,Anomaly_Score
T8423,,C1767,2,964.0,,0,0,completed,Laptop,Cash,,-1,-0.5529392044435052
T31046,,C4638,2,938.0,,0,0,completed,Laptop,Cash,,-1,-0.5533134421300708
T35717,,C1627,2,884.0,,0,0,completed,Laptop,Cash,,-1,-0.5528452658261246
T81300,,C3000,2,937.0,,0,0,completed,Laptop,Cash,,-1,-0.5533134421300708
T11117,,C3895,2,941.0,,2,3,Pending,Laptop,pay pal,,-1,-0.556193120043042
T13818,,C784,2,816.0,,2,3,Pending,Laptop,pay pal,,-1,-0.5531719343719222
T23218,,C3664,2,832.0,,2,3,Pending,Laptop,pay pal,,-1,-0.5531719343719222
T54484,,C3580,2,1000.0,,2,3,Pending,Laptop,pay pal,,-1,-0.5561663865780095
T80887,,C1833,2,931.0,,2,3,Pending,Laptop,pay pal,,-1,-0.556193120043042
T82725,,C4148,2,957.0,,2,3,Pending,Laptop,pay pal,,-1,-0.556193120043042
T8831,,C4064,2,944.0,,0,0,complete,Laptop,Cash,,-1,-0.5533134421300708
T20623,,C4385,2,888.0,,0,0,complete,Laptop,Cash,,-1,-0.5528452658261246
T65479,,C3403,2,889.0,,0,0,complete,Laptop,Cash,,-1,-0.5528452658261246
T1120,,C1857,2,770.0,,0,1,Failed,Laptop,Cash,,-1,-0.55309527547691
T13203,,C2820,2,808.0,,0,1,Failed,Laptop,Cash,,-1,-0.5533017143890436
T26449,,C4830,2,767.0,,0,1,Failed,Laptop,Cash,,-1,-0.55309527547691
T30115,,C3588,2,958.0,,0,1,Failed,Laptop,Cash,,-1,-0.5602081621952697
T30362,,C3790,2,847.0,,0,1,Failed,Laptop,Cash,,-1,-0.5535175831326213
T41448,,C2720,2,787.0,,0,1,Failed,Laptop,Cash,,-1,-0.5533017143890436
T42791,,C3335,2,907.0,,0,1,Failed,Laptop,Cash,,-1,-0.5602081621952697
T57027,,C4230,2,981.0,,0,1,Failed,Laptop,Cash,,-1,-0.5592903479826672
T58128,,C2072,2,937.0,,0,1,Failed,Laptop,Cash,,-1,-0.5605873196233022
T58740,,C1155,2,952.0,,0,1,Failed,Laptop,Cash,,-1,-0.5602081621952697
T62469,,C2216,2,889.0,,0,1,Failed,Laptop,Cash,,-1,-0.55840414440146
T63806,,C2914,2,783.0,,0,1,Failed,Laptop,Cash,,-1,-0.5533017143890436
T79590,,C4369,2,823.0,,0,1,Failed,Laptop,Cash,,-1,-0.5533017143890436
T0495,,C3530,2,929.0,,0,3,Pending,Laptop,Cash,,-1,-0.5837896592323203
T2034,,C3052,2,781.0,,0,3,Pending,Laptop,Cash,,-1,-0.5803572048677347
T2372,,C1194,2,421.0,,0,3,Pending,Laptop,Cash,,-1,-0.569844629271375
T4484,,C3086,2,627.0,,0,3,Pending,Laptop,Cash,,-1,-0.5763045936457033
T5165,,C2116,2,892.0,,0,3,Pending,Laptop,Cash,,-1,-0.5833362577396741
T5530,,C2589,2,9.0,,0,3,Pending,Laptop,Cash,,-1,-0.5523082871981194
T6727,,C373,2,-6.0,,0,3,Pending,Laptop,Cash,,-1,-0.5528155666765621
T7034,,C3058,2,-9.0,,0,3,Pending,Laptop,Cash,,-1,-0.5551081917428197
T8078,,C2078,2,372.0,,0,3,Pending,Laptop,Cash,,-1,-0.5690423869266457
T12754,,C2941,2,-10.0,,0,3,Pending,Laptop,Cash,,-1,-0.5573885114999884
T14802,,C3151,2,794.0,,0,3,Pending,Laptop,Cash,,-1,-0.5803572048677347
